epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3394,1.0276,2.13876,0.99806,0.95616,0.72794,0.92666,0.69404,0.8725,2.55404,0.88728,0.000659864,0.000659864,0.000659864
2,91.4979,0.87683,1.13534,0.91514,0.97239,0.94941,0.97255,0.7395,0.86095,1.09298,0.90178,0.00130902,0.00130902,0.00130902
3,139.368,0.85569,0.86518,0.90789,0.97032,0.96149,0.9706,0.75261,0.77276,0.78725,0.87662,0.00194058,0.00194058,0.00194058
4,175.875,0.84409,0.71997,0.91137,0.96825,0.97159,0.97745,0.73264,0.86359,0.73061,0.9037,0.0019208,0.0019208,0.0019208
5,222.725,0.82209,0.63501,0.89758,0.97044,0.96563,0.98145,0.7571,0.82256,0.59323,0.91376,0.0018944,0.0018944,0.0018944
6,269.005,0.80229,0.58811,0.90565,0.97535,0.9696,0.98409,0.80477,0.70763,0.53219,0.86819,0.001868,0.001868,0.001868
7,315.275,0.75737,0.53399,0.8796,0.96581,0.96923,0.9811,0.82075,0.65565,0.48059,0.85373,0.0018416,0.0018416,0.0018416
8,353.17,0.73513,0.50651,0.87809,0.96637,0.97059,0.98307,0.81942,0.63332,0.50156,0.84122,0.0018152,0.0018152,0.0018152
9,402.737,0.72319,0.49608,0.87125,0.98018,0.96959,0.97944,0.82034,0.62888,0.43925,0.84071,0.0017888,0.0017888,0.0017888
10,449.123,0.69831,0.46868,0.867,0.97536,0.97016,0.9847,0.82857,0.64813,0.4529,0.85219,0.0017624,0.0017624,0.0017624
11,495.606,0.6881,0.4551,0.86326,0.9578,0.96324,0.98423,0.82172,0.66052,0.44752,0.84797,0.001736,0.001736,0.001736
12,534.469,0.67795,0.45388,0.85709,0.98258,0.968,0.98921,0.83225,0.62991,0.43088,0.83797,0.0017096,0.0017096,0.0017096
13,582.982,0.69828,0.44601,0.8599,0.97342,0.96814,0.98114,0.82512,0.64956,0.43238,0.83852,0.0016832,0.0016832,0.0016832
14,632.49,0.66762,0.43379,0.85875,0.98348,0.96324,0.98528,0.82797,0.60942,0.41334,0.84172,0.0016568,0.0016568,0.0016568
15,680.411,0.65211,0.42343,0.85738,0.97542,0.96814,0.9845,0.83686,0.60453,0.43134,0.83518,0.0016304,0.0016304,0.0016304
16,738.571,0.65448,0.42238,0.85507,0.97773,0.96847,0.98948,0.84395,0.58884,0.41807,0.82658,0.001604,0.001604,0.001604
17,785.95,0.6525,0.42797,0.85221,0.97989,0.96814,0.98562,0.85334,0.56476,0.38485,0.83222,0.0015776,0.0015776,0.0015776
18,835.165,0.64169,0.41253,0.85783,0.97178,0.97549,0.98573,0.83867,0.58442,0.37791,0.8314,0.0015512,0.0015512,0.0015512
19,884.333,0.61887,0.39898,0.85119,0.97455,0.97059,0.98693,0.84316,0.59375,0.38475,0.83324,0.0015248,0.0015248,0.0015248
20,944.118,0.64003,0.40153,0.85644,0.97618,0.96569,0.9887,0.84643,0.59058,0.37678,0.83329,0.0014984,0.0014984,0.0014984
21,991.55,0.63059,0.40687,0.85232,0.97757,0.96569,0.98545,0.83717,0.58556,0.38438,0.82637,0.001472,0.001472,0.001472
22,1039.6,0.61546,0.39735,0.84599,0.97735,0.96569,0.98778,0.84562,0.55646,0.36896,0.82861,0.0014456,0.0014456,0.0014456
23,1095.39,0.61158,0.38695,0.85183,0.97753,0.95976,0.99008,0.8654,0.55829,0.3686,0.83148,0.0014192,0.0014192,0.0014192
24,1156.67,0.61602,0.38638,0.84356,0.96815,0.96853,0.98884,0.84803,0.59143,0.3716,0.837,0.0013928,0.0013928,0.0013928
25,1204.38,0.60663,0.38448,0.84465,0.97499,0.96814,0.98672,0.85985,0.55398,0.3647,0.82909,0.0013664,0.0013664,0.0013664
26,1251.34,0.61349,0.38153,0.84992,0.9745,0.96814,0.9916,0.85908,0.5484,0.34588,0.829,0.00134,0.00134,0.00134
27,1300.21,0.59177,0.36955,0.84444,0.97592,0.96569,0.99063,0.86536,0.54723,0.36564,0.83008,0.0013136,0.0013136,0.0013136
28,1362.15,0.61707,0.38232,0.84323,0.9758,0.96569,0.99024,0.84023,0.60149,0.37183,0.83235,0.0012872,0.0012872,0.0012872
29,1411.68,0.58068,0.3631,0.84016,0.97542,0.97276,0.9897,0.86021,0.53668,0.35632,0.8246,0.0012608,0.0012608,0.0012608
30,1460.47,0.58867,0.36687,0.84086,0.97393,0.97059,0.98706,0.86913,0.53539,0.34325,0.82488,0.0012344,0.0012344,0.0012344
31,1508.94,0.57258,0.36384,0.83491,0.97518,0.96284,0.98589,0.85128,0.53543,0.35169,0.81862,0.001208,0.001208,0.001208
32,1570.03,0.57709,0.36082,0.83941,0.98003,0.96324,0.99057,0.87345,0.52728,0.33154,0.82231,0.0011816,0.0011816,0.0011816
33,1618.85,0.57537,0.35448,0.83829,0.96598,0.9744,0.98638,0.85501,0.57731,0.36798,0.82518,0.0011552,0.0011552,0.0011552
34,1667.21,0.57711,0.35708,0.84115,0.97623,0.97059,0.98906,0.8535,0.56325,0.33696,0.823,0.0011288,0.0011288,0.0011288
35,1715.32,0.57944,0.35472,0.83762,0.96814,0.96834,0.99026,0.86166,0.53976,0.33536,0.81802,0.0011024,0.0011024,0.0011024
36,1773.77,0.56509,0.34504,0.83774,0.97444,0.97059,0.98996,0.87147,0.53437,0.32856,0.81572,0.001076,0.001076,0.001076
37,1822.26,0.55226,0.33765,0.83168,0.98499,0.96534,0.9846,0.85431,0.55107,0.33676,0.81796,0.0010496,0.0010496,0.0010496
38,1870.42,0.55997,0.33945,0.83311,0.97071,0.97483,0.99031,0.86118,0.54006,0.34247,0.81673,0.0010232,0.0010232,0.0010232
39,1918.6,0.55037,0.33351,0.84176,0.98069,0.96569,0.98694,0.86828,0.51153,0.32698,0.81536,0.0009968,0.0009968,0.0009968
40,1978.81,0.55711,0.33837,0.83626,0.97777,0.97024,0.98923,0.86061,0.54718,0.32741,0.82073,0.0009704,0.0009704,0.0009704
41,2027.43,0.56203,0.33744,0.83451,0.98019,0.97004,0.9888,0.86111,0.54424,0.3253,0.81699,0.000944,0.000944,0.000944
42,2075.71,0.52958,0.32616,0.82981,0.98998,0.96904,0.98967,0.877,0.52836,0.30571,0.8177,0.0009176,0.0009176,0.0009176
43,2123.78,0.53184,0.3263,0.83243,0.98011,0.96644,0.98932,0.87754,0.50575,0.31291,0.81528,0.0008912,0.0008912,0.0008912
44,2183.73,0.54704,0.33477,0.83265,0.98756,0.97292,0.99014,0.88488,0.50695,0.31192,0.81175,0.0008648,0.0008648,0.0008648
45,2232.28,0.54609,0.32852,0.83199,0.98755,0.97193,0.98986,0.88963,0.48897,0.30194,0.81161,0.0008384,0.0008384,0.0008384
46,2280.42,0.52592,0.31886,0.82886,0.98602,0.97304,0.98886,0.88046,0.49537,0.30344,0.81284,0.000812,0.000812,0.000812
47,2328.59,0.53929,0.32133,0.83299,0.99,0.97018,0.98938,0.8778,0.52372,0.31282,0.81536,0.0007856,0.0007856,0.0007856
